CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,CNT_FAM_MEMBERS
1.0,1.0,1.0,0.0,0.3684210526315789,1.0,0.25,0.25,0.2,0.9083120292959304,0.0
0.0,0.0,1.0,0.0,0.07894736842105263,1.0,1.0,0.0,0.2,0.9061701098597388,0.0
1.0,1.0,0.0,0.0,0.15789473684210525,0.0,1.0,0.25,0.2,0.959718095764527,0.0
1.0,1.0,1.0,0.5,0.07368421052631578,0.5,1.0,0.25,0.2,0.9365715470185864,1.0
1.0,1.0,1.0,0.0,0.3157894736842105,0.0,1.0,0.25,1.0,0.9794099357424169,0.0
0.0,0.0,0.0,0.5,0.10526315789473684,0.0,1.0,0.25,0.2,0.6856905962827333,1.0
1.0,1.0,1.0,0.0,0.47368421052631576,0.0,0.25,0.25,0.2,0.8920748980860913,0.0
1.0,1.0,0.0,0.0,0.3684210526315789,0.5,0.25,0.25,0.6,0.8032888827471845,0.0
1.0,0.0,0.0,0.0,0.21052631578947367,0.0,1.0,0.25,0.2,0.9444482830097423,0.0
1.0,1.0,1.0,0.0,0.07894736842105263,1.0,0.25,0.25,0.2,0.9629655220064949,0.0
0.0,0.0,1.0,0.5,0.07894736842105263,0.0,1.0,0.25,0.2,0.9291784702549575,1.0
0.0,0.0,1.0,0.5,0.10526315789473684,0.0,0.75,0.0,1.0,0.8709320804256201,1.0
0.0,0.0,0.0,0.0,0.07894736842105263,1.0,1.0,0.0,0.2,0.8101983002832861,0.0
0.0,0.0,1.0,0.5,0.15789473684210525,1.0,0.25,0.25,0.2,0.967733020106405,1.0
0.0,0.0,1.0,0.5,0.010526315789473684,1.0,0.25,0.25,0.2,0.6849305603537622,1.0
1.0,1.0,0.0,0.0,0.21052631578947367,1.0,1.0,0.25,0.2,0.8702411386720099,0.0
0.0,1.0,0.0,0.5,0.3684210526315789,1.0,0.5,0.25,0.2,0.8470945899260692,1.0
0.0,1.0,0.0,0.0,0.05263157894736842,0.0,1.0,0.25,0.2,0.9806536308989152,0.0
0.0,0.0,0.0,0.0,0.02631578947368421,1.0,1.0,0.25,0.2,0.5191736336626822,0.0
0.0,1.0,1.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.7970704069646929,1.0
0.0,1.0,0.0,0.0,0.05263157894736842,1.0,1.0,0.25,0.2,0.9315276722172321,0.0
1.0,1.0,1.0,0.5,0.10526315789473684,1.0,0.25,0.25,0.2,0.8497892627651489,1.0
0.0,0.0,1.0,0.0,0.07894736842105263,1.0,0.25,0.25,0.2,0.8475091549782353,0.0
0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.7748220824984454,1.0
1.0,1.0,0.0,0.5,0.15789473684210525,0.0,1.0,0.25,0.2,0.7064188488910385,1.0
1.0,1.0,1.0,0.5,0.3157894736842105,1.0,0.25,0.25,0.2,0.9889449319422373,1.0
0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.25,0.0,0.2,0.8672009949561252,0.0
1.0,1.0,1.0,0.0,0.07894736842105263,1.0,1.0,0.25,0.2,0.9832101153872729,0.0
0.0,0.0,0.0,0.0,0.2894736842105263,1.0,0.5,0.25,0.2,0.7215504732951012,0.0
0.0,0.0,0.0,0.0,0.05263157894736842,1.0,1.0,0.25,1.0,0.898984315622193,0.0
0.0,1.0,1.0,0.0,0.23684210526315788,1.0,1.0,0.25,0.2,0.7779313203896911,0.0
0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.5,0.25,0.2,0.8376977820769709,0.0
0.0,0.0,1.0,0.0,0.11052631578947368,0.25,0.75,0.25,0.2,1.0,0.0
